ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_TASA,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_TASA,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_TASA,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_TASA,time
GD30,67.231,707592.88,0.31092219651016717,0.4023619757215241,0.4634039657720823,0.3551981386756453,2023-04-19 15:34:48.759797
GD30,67.231,24035.01,0.41941532541012294,0.44420358335279964,0.4635293455887496,0.46371754409914756,2023-04-19 15:34:58.779020
GD30,67.231,1560.8,0.4444704914213149,0.44420358335279964,0.47187888829606783,0.48877877835323713,2023-04-19 15:35:08.809348
GD30,67.231,6486.83,0.4277662848388075,0.32743797505414396,0.3967961281509069,0.4720705260907737,2023-04-19 15:35:18.865365
GD30,67.231,538827.07,0.46117774900042374,0.5444834701160822,0.5554664686118271,0.505490082351282,2023-04-19 15:35:28.962960
GD30,67.231,3285.96,0.5698493490706596,0.5695078323825126,0.5804923323850153,0.5808338695647824,2023-04-19 15:35:39.029246
GD30,67.23,45118804.94,0.570797208372732,0.5533520099346478,0.5643355405587547,0.5817817857401503,2023-04-19 15:35:49.041432
GD30,67.23,1034000.0,0.2535484911959579,0.5116957812320588,0.5310427984572813,0.49848469843712995,2023-04-19 15:35:59.178748
GD30,67.23,230000.0,0.2531813676735728,0.5033775769818222,0.5227240972611974,0.3392451536005109,2023-04-19 15:36:09.194027
GD30,67.23,91716.21,0.4456238807337831,0.5369185037212881,0.5479010483054236,0.46495513016789447,2023-04-19 15:36:19.268707
GD30,67.23,108123.09,0.4875051187450141,0.4868514186507722,0.514567545086263,0.5068407936288238,2023-04-19 15:36:29.278984
